NombreServicioTuristico,ClasificacionId,Clasificacion,CategoriaId,Categoria,SubCategoriaId,SubCategoria,Direccion,CorreoElectronico,SitioWeb,Telefono,CodDepartamento,CodProvincia,CodDistrito,NombreDepartamento,NombreProvincia,NombreDistrito,Ruc,Siglas,NombreEmpresa,FechaRegistroDatosEmpresa,FechaActualizacionDatosEmpresa
R?o Blanco,2201,ESTABLECIMIENTOS DE HOSPEDAJE,220107,Hospedaje no Categorizado,220107,Hospedaje no Categorizado,"Malec?n Nor-Oeste 160, Independencia - Huaraz",reynanoemihuertabautista@gmail.com,"",967739601 / 922944482,2,1,1,?ncash,Huaraz,Huaraz,10448633956,R?o Blanco,Huerta Bautista Reyna Noem?,18/10/2024,18/10/2024
El Brujo,2201,ESTABLECIMIENTOS DE HOSPEDAJE,220101,Hoteles,22010103,H.3 Estrellas,Santa Teresa de Jes?s 170 Urb. La Merced,reservas2@elbrujohotel.com,www.elbrujohotel.com,(044) 250151,13,1,1,La Libertad,Trujillo,Trujillo,20274492393,El Brujo,Hotel El Brujo S.A.C.,1/06/2001,7/10/2024
Pancho Fierro,2202,ALIMENTOS Y BEBIDAS,220210,Caf? & Bar,220210,Caf? & Bar,Jr. Ica 153,panchofierrocafeteria@gmail.com,"","",15,1,1,Lima,Lima,Cercado de Lima,20602934757,Pancho Fierro,STARCAFE PERU S.A.C.,18/12/2023,10/10/2024
Scenic Peru,2205,AGENCIAS DE VIAJES Y TURISMO,220503,Operador de Turismo,220503,Operador de Turismo,Av. Andr?s Avelino C?ceres 743 Dpto. A - 501,info@scenicperu.com,www.scenicperu.com,974799272,8,1,5,Cusco,Cusco,San Sebasti?n,20527324689,Scenic Peru,Scenic Peru E.I.R.L,7/10/2024,7/10/2024
Empresa de Transportes Disa,2203,TRANSPORTE,220301,Terrestre,22030103,Taxis,Jr. Pocras 512,disasrcorp@gmail.com,"",922284451,12,4,1,Jun?n,Jauja,Jauja,20608583867,Empresa de Transportes Disa,Disa Src Corp Sociedad Comercial de Responsabilidad Limitada,21/10/2024,21/10/2024
ROKY?S,2202,ALIMENTOS Y BEBIDAS,220202,Restaurantes comida Peruana,220202,Restaurantes comida Peruana,Av. America Norte 2402 - Urb Primavera,"","",(044) 231623,13,1,1,La Libertad,Trujillo,Trujillo,20514189995,ROKY?S,Inversiones America Norte S.A.C.,7/05/2013,17/10/2024
ROKY?S,2202,ALIMENTOS Y BEBIDAS,220202,Restaurantes comida Peruana,220202,Restaurantes comida Peruana,Calle TupacYupanqui 999 - Urb. Santa Mar?a,"","",(044) 251839,13,1,1,La Libertad,Trujillo,Trujillo,20514189995,ROKY?S,Inversiones America Norte S.A.C.,7/05/2013,17/10/2024
Euro Reps,2205,AGENCIAS DE VIAJES Y TURISMO,220503,Operador de Turismo,220503,Operador de Turismo,Av. San Mart?n 429 OF. 05. Galer?a la Nonna,jpoloeuroreps@gmail.com,https://www.facebook.com/euroreps/?__tn__=-UC*F,(052) 246767 / 952 005151,23,1,1,Tacna,Tacna,Tacna,20533277455,Euro Reps,Euro Reps Internacional Service E.I.R.L,16/06/2015,17/10/2024
Teatro Municipal de Trujillo,2204,ENTRETENIMIENTO,220410,Teatros,220410,Teatros,Jir?n Bol?var 753,sgculturampt7@gmail.com,.,(044) 241601,13,1,1,La Libertad,Trujillo,Trujillo,20175639391,Teatro Municipal de Trujillo,MUNICIPALIDAD PROVINCIAL DE TRUJILLO,22/10/2024,22/10/2024
Hostal El Mango,2201,ESTABLECIMIENTOS DE HOSPEDAJE,220103,Hostales,22010303,Hs.1 Estrella,Calle Pacificaci?n 110 - La Colonia,elmangopozuzo@hotmail.com; ppkohel@hotmail.com,www.hotelmangopozuzo.com,987481859 / 942760591,19,3,5,Pasco,Oxapampa,Pozuzo,10105856976,Hostal El Mango,Kohel Gstir Jose Luis,15/07/2004,19/10/2024
El Uruguayo Parrilladas,2202,ALIMENTOS Y BEBIDAS,220205,Restaurantes de Carnes y Parrillas,220205,Restaurantes de Carnes y Parrillas,Av. Larco 1094,"","","",13,1,1,La Libertad,Trujillo,Trujillo,10156627921,El Uruguayo Parrilladas,Trujillo Zu?iga Alejandro Justo,3/05/2013,17/10/2024
El Italiano,2202,ALIMENTOS Y BEBIDAS,220201,Restaurantes comida Internacional,220201,Restaurantes comida Internacional,"Jr. Enrique Le?n Garc?a 376, Urb. Santa Catalina",pizzeriaelitaliano@gmail.com,www.pizzeriaelitaliano.com,(01) 472-1281 / 998373594,15,1,15,Lima,Lima,La Victoria,20492183548,El Italiano,Trattoria Pizzeria El Italiano S.A.C.,13/10/2014,23/10/2024
Namast?,2202,ALIMENTOS Y BEBIDAS,220204,Restaurantes Vegetarianos,220204,Restaurantes Vegetarianos,Av. Bolognesi 802-A,contacto@namastewarmy.com,www.namastewarmy.com,999458381,15,1,4,Lima,Lima,Barranco,10410325131,Namast?,Velit Panta Laksmi Yasoda,15/11/2023,17/10/2024
Amazing Lodges Per?,2201,ESTABLECIMIENTOS DE HOSPEDAJE,220108,Ecolodge,220108,Ecolodge,Rio Momon a 200mt r?o abajo del caser?o San Andr?s,amazinglodgeperu@gmail.com,-,927456277,16,1,8,Loreto,Maynas,Punchana,20607807141,Amazing Lodges Per?,Amazing Lodges Per? S.A.C,28/10/2024,28/10/2024
SM & Business,2201,ESTABLECIMIENTOS DE HOSPEDAJE,220101,Hoteles,22010103,H.3 Estrellas,Av. Universitaria 848,reservas@smhotel.pe,https://smhotel.pe/,920536583,15,1,36,Lima,Lima,San Miguel,20603590962,SM & Business,Hino Inversiones Plus S.A.C.,31/10/2024,31/10/2024
Intrepid DMC,2205,AGENCIAS DE VIAJES Y TURISMO,220503,Operador de Turismo,220503,Operador de Turismo,Cl. Zeta 109,Maritza.chacacanta@intrepidtravel.com,"",958061871,8,1,1,Cusco,Cusco,Cusco,20601431425,Intrepid DMC,Intrepid Peru S.A.C.,7/10/2024,7/10/2024
Golf Restaurante,2202,ALIMENTOS Y BEBIDAS,220213,Restaurante 2 Tenedores,220213,Restaurante 2 Tenedores,Jr. Hu?scar 545,golfrestaurant@hotmail.com,-,(061) 574632,25,1,1,Ucayali,Coronel Portillo,Caller?a,20351014971,Golf Restaurante,Golf Representaciones S.R.L,26/09/2005,9/10/2024
Otra Cosa Comida Vegetariana,2202,ALIMENTOS Y BEBIDAS,220201,Restaurantes comida Internacional,220201,Restaurantes comida Internacional,Av. V?ctor Larco 1312 - Urb. El Boquer?n,"","",916427180,13,1,4,La Libertad,Trujillo,Huanchaco,20477223738,Otra Cosa Comida Vegetariana,Otra Cosa Gwoon Anders E.I.R.L,20/12/2005,17/10/2024
Casa Tambo,2202,ALIMENTOS Y BEBIDAS,220202,Restaurantes comida Peruana,220202,Restaurantes comida Peruana,Jr. de la Uni?n 1066,info@casatambo.com.pe,www.casatambo.com.pe,983397305,15,1,1,Lima,Lima,Cercado de Lima,20608519638,Casa Tambo,Golden Tambo Inversiones S.A.C.,15/11/2023,10/10/2024
Las Tinajas Restaurant,2202,ALIMENTOS Y BEBIDAS,220214,Restaurante 1 Tenedor,220214,Restaurante 1 Tenedor,Jr. Grau 389,olivachavez64@gmail.com,-,953163636,1,5,1,Amazonas,Luya,L?mud,10448204087,Las Tinajas Restaurant,Lorenzo Oliva Chavez,24/10/2024,24/10/2024
Cruz del Sur,2203,TRANSPORTE,220301,Terrestre,22030101,Transporte Terrestre Nacional,Av. Pampa inal?mbrica S/N - Terminal Terrestre de Ilo,No cuenta,www.cruzdelsur.com.pe,(01) 3115050,18,3,1,Moquegua,Ilo,Ilo,20100227461,Cruz del Sur,Transportes Cruz del Sur S.A.C.,19/08/2003,1/10/2024
Han Muy,2202,ALIMENTOS Y BEBIDAS,220221,Chifas,220221,Chifas,Av. Juan Pablo II N? 155,"",https://www.chifahanmuy.com/,(044) 23-3035,13,1,1,La Libertad,Trujillo,Trujillo,20481633606,Han Muy,Servicios de Alimentos M&A SAC,11/04/2007,17/10/2024
Plaza Huamachuco,2201,ESTABLECIMIENTOS DE HOSPEDAJE,220103,Hostales,22010301,Hs.3 Estrellas,Jr. San Martin 509,hostalplazahco@gmail.com,"",990026180,13,9,1,La Libertad,S?nchez Carri?n,Huamachuco,10195605110,Plaza Huamachuco,Segundo Carlos Guevara Goicochea,16/04/2013,7/10/2024
Hostal Puerto Ingl?s,2201,ESTABLECIMIENTOS DE HOSPEDAJE,220103,Hostales,22010302,Hs.2 Estrellas,"Urb. Arenal I - 4, Alto Ilo",hostalpuertoingles@hotmail.com,"",(053) 484315 / 99995582,18,3,1,Moquegua,Ilo,Ilo,10293299094,Hostal Puerto Ingl?s,Llacho Perez Luz Marina,22/04/2013,9/10/2024
Empresa de Transportes Jomyl,2203,TRANSPORTE,220301,Terrestre,22030103,Taxis,Av. Las Am?ricas 121,et.jomyl.04@gmail.com,"",934511591,12,4,1,Jun?n,Jauja,Jauja,20568519508,Empresa de Transportes Jomyl,E.T. Jomyl S.R.L.,21/10/2024,21/10/2024
Illitos de la Lunta Express,2202,ALIMENTOS Y BEBIDAS,220206,Caf?s,220206,Caf?s,Jr. Grau 280,illitoexpres@gmail.com,-,945605541,1,5,1,Amazonas,Luya,L?mud,1033781058,Illitos de la Lunta Express,Elvia Rosa Ramos de Poquioma,24/10/2024,24/10/2024
Los Herrajes Vivencial,2202,ALIMENTOS Y BEBIDAS,220203,Restaurantes Pescados & Mariscos,220203,Restaurantes Pescados & Mariscos,Av. 9 de Octubre 893. Urb. Las Quintanas,"",https://www.losherrajes.com/,(044) 204846,13,1,1,La Libertad,Trujillo,Trujillo,10179182179,Los Herrajes Vivencial,"CRUZ DE GOICOCHEA, LUZGARDIZ EMERITA",5/06/2013,21/10/2024
Pardo?s Chicken,2202,ALIMENTOS Y BEBIDAS,220217,Poller?a,220217,Poller?a,Av. Antonio Jose de Sucre 902,reservaspueblolibre@pardospueblolibre.com.pe,www.pardoschicken.pe,(01) 219-8000 / (01) 616 - 5151 Anexo 309,15,1,21,Lima,Lima,Pueblo Libre,20502301552,Pardo?s Chicken,Ursus Restaurante S.A.C.,19/06/2018,23/10/2024
18 Grados Sur,2205,AGENCIAS DE VIAJES Y TURISMO,220503,Operador de Turismo,220503,Operador de Turismo,Cl. Ayacucho 96,reservas@18gradossur.com,www.18gradossur.com,(052) 424296 / 977 563127,23,1,1,Tacna,Tacna,Tacna,20533339582,18 Grados Sur,Miranda & Escobar Per? Travels S.A.C.,8/01/2021,17/10/2024
Chifa Estrella Fu Lai,2202,ALIMENTOS Y BEBIDAS,220221,Chifas,220221,Chifas,Jr. Ica 145,"","",(01) 426-2980 / 982366667,15,1,1,Lima,Lima,Cercado de Lima,20523079965,Chifa Estrella Fu Lai,Estrella Fu Lai E.I.R.L.,15/04/2013,10/10/2024
Green House Tambopata,2205,AGENCIAS DE VIAJES Y TURISMO,220503,Operador de Turismo,220503,Operador de Turismo,Av. Ucayali c/n Av. Ernesto Rivero,informes@greenhousetambopata.com,www.greenhousetambopata.com,972 704 291,17,1,1,Madre de Dios,Tambopata,Tambopata,20601112125,Green House Tambopata,Green House Tambopata E.I.R.L.,26/03/2022,26/10/2024
El Mirador de Chabuca,2202,ALIMENTOS Y BEBIDAS,220202,Restaurantes comida Peruana,220202,Restaurantes comida Peruana,Jr. Santa 137,elmiradordechabuca@gmail.com,"",915146938,15,1,1,Lima,Lima,Cercado de Lima,20523673018,El Mirador de Chabuca,Provecho Sociedad An?nima,13/09/2023,10/10/2024
BOTICARIO BAR,2204,ENTRETENIMIENTO,220409,Bares/Pubs,220409,Bares/Pubs,Av. Larco 992,.,.,946 586 366,13,1,1,La Libertad,Trujillo,Trujillo,"",BOTICARIO BAR,.,22/10/2024,22/10/2024
Las almendras,2201,ESTABLECIMIENTOS DE HOSPEDAJE,220107,Hospedaje no Categorizado,220107,Hospedaje no Categorizado,"Av. Buenos Aires S/N Mz. Y lote 10, Iscozacin",h.almendras@hotmail.com,"",958682390 / 943961932,19,3,4,Pasco,Oxapampa,Palcazu,10043324204,Las almendras,Carpio Bottger Mery,23/08/2023,19/10/2024
Polleria Paraiso,2202,ALIMENTOS Y BEBIDAS,220217,Poller?a,220217,Poller?a,Jr. Coronel Guerra 112,"","",934662953,12,9,1,Jun?n,Chupaca,Chupaca,10432196513,Polleria Paraiso,Rios Torres Marizol,29/10/2024,29/10/2024
Cruz del Sur,2203,TRANSPORTE,220301,Terrestre,22030101,Transporte Terrestre Nacional,Jr. Teresa Gonz?les de Fanning 457 / Jr. Sim?n Bolivar 407 (of. venta de boletos),"",www.cruzdelsur.com.pe,(043) 785661 / 943752290 / (043)782832  (terminal),2,1,5,?ncash,Huaraz,Independencia,20100227461,Cruz del Sur,Transportes Cruz del Sur S.A.C.,19/08/2003,1/10/2024
Hospedaje Luna Llena (Arrorr Por),2201,ESTABLECIMIENTOS DE HOSPEDAJE,220107,Hospedaje no Categorizado,220107,Hospedaje no Categorizado,Av. Tsachopen S/N Km.6 sector Miraflores Comunidad Nativa Yanesha de Tsachopen,hirma1959@hotmail.com; hospedaje-arrorr-por@hotmail.com; evalexandra2016@gmail.com,"",989342579,19,3,2,Pasco,Oxapampa,Chontabamba,10075933181,Hospedaje Luna Llena (Arrorr Por),Ortiz Espiritu Erna Hirma,3/01/2022,19/10/2024
Ilo Tours y sus encantos,2205,AGENCIAS DE VIAJES Y TURISMO,220503,Operador de Turismo,220503,Operador de Turismo,Cl. Moquegua 430,ilotoursysusencantos@gmail.com ; ilotours52@gmail.com,"",988003846 / 931223357,18,3,1,Moquegua,Ilo,Ilo,20602280421,Ilo Tours y sus encantos,Empresa de turismo Ilo Tours y sus encantos,10/06/2022,9/10/2024
Restaurante Jamuy,2202,ALIMENTOS Y BEBIDAS,220202,Restaurantes comida Peruana,220202,Restaurantes comida Peruana,Jr. Damaso Caballero 287,"","",964514024,12,9,1,Jun?n,Chupaca,Chupaca,10412517763,Restaurante Jamuy,Arrieta Huaman Victoria,29/10/2024,29/10/2024
Los Herrajes Vivencial,2202,ALIMENTOS Y BEBIDAS,220203,Restaurantes Pescados & Mariscos,220203,Restaurantes Pescados & Mariscos,Km. 5.7. El Tr?pico (Carretera a Huanchaco),"",https://www.losherrajes.com/,(044) 204846,13,1,1,La Libertad,Trujillo,Trujillo,10179182179,Los Herrajes Vivencial,"CRUZ DE GOICOCHEA, LUZGARDIZ EMERITA",5/06/2013,21/10/2024
Hostal Fortaleza de Ku?lap,2201,ESTABLECIMIENTOS DE HOSPEDAJE,220107,Hospedaje no Categorizado,220107,Hospedaje no Categorizado,Jr. Garcilaso de la Vega 452,maribelvillegasampuero@gmail.com,-,999966196,1,5,1,Amazonas,Luya,L?mud,10337805642,Hostal Fortaleza de Ku?lap,Maribel Villegas Ampuero,24/10/2024,24/10/2024
Andean Explorer?s Cusco,2205,AGENCIAS DE VIAJES Y TURISMO,220503,Operador de Turismo,220503,Operador de Turismo,"APV. Salineras C-7, 3er piso.",info@andeanexplorerscusco.com,www.andeanexplorerscusco.com,984827729 / 984623814,8,1,5,Cusco,Cusco,San Sebasti?n,20490359347,Andean Explorer?s Cusco,Inversiones Tur?sticas Andean Explorer?s Cusco E.I.R.L.,11/09/2012,7/10/2024
Machupicchu Andes Tours,2205,AGENCIAS DE VIAJES Y TURISMO,220503,Operador de Turismo,220503,Operador de Turismo,Av. Antonio Lorena 432,machupicchuandestours@gmail.com; reservas@machupicchuandestour.com,www.machupicchuandestours.com,984032083 / 984032063,8,1,6,Cusco,Cusco,Santiago,20601484723,Machupicchu Andes Tours,Matours E.I.R.L.,5/08/2019,7/10/2024
Hospedaje La Heroica,2201,ESTABLECIMIENTOS DE HOSPEDAJE,220107,Hospedaje no Categorizado,220107,Hospedaje no Categorizado,Jr. Alonso Mercadillo 441,"","",975777054,12,9,1,Jun?n,Chupaca,Chupaca,10466630344,Hospedaje La Heroica,Castillo Lazo Jesus Alejandrito,25/10/2024,25/10/2024
PARADISE ECOLODGE & ADVENTURE,2205,AGENCIAS DE VIAJES Y TURISMO,220503,Operador de Turismo,220503,Operador de Turismo,Av. Le?n Velarde 138,reservasamazonecolodge@gmail.com / info@paradiseyakari.com,www.paradiseyakari.com,(082) 350598 / 956 357 371,17,1,1,Madre de Dios,Tambopata,Tambopata,20601532779,PARADISE ECOLODGE & ADVENTURE,Uakari Belarous Expeditions EIRL,15/11/2021,26/10/2024
Naruto,2202,ALIMENTOS Y BEBIDAS,220201,Restaurantes comida Internacional,220201,Restaurantes comida Internacional,Av. Los Constructores 186,info@naruto.pe,http://www.naruto.pe/,(01) 657 - 7273,15,1,14,Lima,Lima,La Molina,20505676301,Naruto,Naruto San Borja S.A.C,15/10/2014,18/10/2024
Restaurant La Caba?a de Cesar,2202,ALIMENTOS Y BEBIDAS,220203,Restaurantes Pescados & Mariscos,220203,Restaurantes Pescados & Mariscos,Av. Faustino Piaggio 123 - B playa,carrillocesar798@gmail.com,"",(+51) 978557318,24,2,1,Tumbes,Contralmirante Villar,Zorritos,10038873143,Restaurant La Caba?a de Cesar,Carrillo Cruz Cesar,22/06/2022,1/10/2024
ITEP Eco Travel,2205,AGENCIAS DE VIAJES Y TURISMO,220503,Operador de Turismo,220503,Operador de Turismo,Cl. San Agust?n 317-A (Presencial y digital),sales@iteptravel.com ; info@iteptravel.com,www.iteptravel.com,(084) 231344/ 984621294,8,1,1,Cusco,Cusco,Cusco,20528015752,ITEP Eco Travel,Inka Trail Expeditions Per? E.I.R.L.,5/12/2016,7/10/2024
Andares Tacna,2205,AGENCIAS DE VIAJES Y TURISMO,220503,Operador de Turismo,220503,Operador de Turismo,Cl. Juan Velasco Alvarado Mz.08 Lte. 5-A  J.V. Jes?s Mar?a. C.P. Nuestra Se?ora de la Natividad,andarestacna@gmail.com; andarestacnaturismo@gmail.com,www.andarestacna.com.pe,996053264,23,1,1,Tacna,Tacna,Tacna,20602995926,Andares Tacna,Andares Tacna Sociedad Comercial de Responsabilidad Limitada,7/05/2018,17/10/2024
La Cachina Bar,2204,ENTRETENIMIENTO,220409,Bares/Pubs,220409,Bares/Pubs,Cl. Manuel Bonilla 116,chino@lacachinabar.com,"",997535215,15,1,22,Lima,Lima,Miraflores,20556435040,La Cachina Bar,Econait S.A.C,18/08/2023,10/10/2024
Bamb? Chifa,2202,ALIMENTOS Y BEBIDAS,220201,Restaurantes comida Internacional,220201,Restaurantes comida Internacional,Av. Fatima 369 Urb. La Merced,marketing@foktou.com,"",(044) 286888 / 995002026,13,1,1,La Libertad,Trujillo,Trujillo,20480971460,Bamb? Chifa,Fok Tou S.A.C.,22/04/2013,17/10/2024
La Divina Hermandad Restobar-LDH,2204,ENTRETENIMIENTO,220409,Bares/Pubs,220409,Bares/Pubs,Av. Conquistadores 1260,corporativo@ladivinahermandad.pe,"",924936992,15,1,31,Lima,Lima,San Isidro,20609700883,La Divina Hermandad Restobar-LDH,Inversiones y Negocios Lumad S.A.C,23/08/2023,10/10/2024
Toto's Pizza,2202,ALIMENTOS Y BEBIDAS,220220,Pizzer?as,220220,Pizzer?as,Jr. Grau 217,"","",974898945,12,9,1,Jun?n,Chupaca,Chupaca,20568283385,Toto's Pizza,Toto's Pizza S.A.C.,31/07/2024,29/10/2024
Recreo La Isla,2202,ALIMENTOS Y BEBIDAS,220208,Restaurantes Campestres y Centros Recreacionales,220208,Restaurantes Campestres y Centros Recreacionales,Calle Real S/N Chucllu,"","",972717574,12,4,24,Jun?n,Jauja,Panc?n,15359743421,Recreo La Isla,Refulio Llanto Angel Omar,16/10/2024,16/10/2024
Restaurante Cordano,2202,ALIMENTOS Y BEBIDAS,220216,Restaurant & Bar,220216,Restaurant & Bar,Jr. Ancash 202,restcordano@hotmail.com,"",(01) 427-0181,15,1,1,Lima,Lima,Cercado de Lima,20100437865,Restaurante Cordano,Restaurante Cordano S.R.L.,31/12/2014,10/10/2024
Atrevete Travel,2205,AGENCIAS DE VIAJES Y TURISMO,220503,Operador de Turismo,220503,Operador de Turismo,Cl. Uruguay Mz. B3 Lt 15 - AA.HH. Nuevo Aguas Verdes,atrevetetravel0@gmail.com,"",921447343,24,3,2,Tumbes,Zarumilla,Aguas Verdes,20613160575,Atrevete Travel,ATREVETE TRAVEL S.A.C.S.,22/10/2024,22/10/2024
D' Charles,2202,ALIMENTOS Y BEBIDAS,220203,Restaurantes Pescados & Mariscos,220203,Restaurantes Pescados & Mariscos,Jr. D?maso caballero 211,"","",902769070,12,9,1,Jun?n,Chupaca,Chupaca,10440751691,D' Charles,Salvatierra Herrera Miguel Angel,29/10/2024,29/10/2024
Zesal Internacional,2205,AGENCIAS DE VIAJES Y TURISMO,220502,Agencias Minoristas,220502,Agencias Minoristas,"Av. Hip?lito Unanue S/N, Terminal Internacional Manuel A.Odr?a C-4",zesaltacna@hotmail.com,www.zesal.net,(052) 24-2851 / 43-0505 / 914 961917,23,1,1,Tacna,Tacna,Tacna,20519702178,Zesal Internacional,Zesal Internacional E.I.R.LTDA,28/03/2007,17/10/2024
ROKY?S,2202,ALIMENTOS Y BEBIDAS,220217,Poller?a,220217,Poller?a,Calle TupacYupanqui 999 - Urb. Santa Mar?a,"","",(044) 251839,13,1,1,La Libertad,Trujillo,Trujillo,20514189995,ROKY?S,Inversiones America Norte S.A.C.,7/05/2013,17/10/2024
Pollos y Parrilla El Gran Chicken,2202,ALIMENTOS Y BEBIDAS,220217,Poller?a,220217,Poller?a,Av. Ricardo Palma 147,"","",901065461,12,4,1,Jun?n,Jauja,Jauja,10200051667,Pollos y Parrilla El Gran Chicken,Vasquez Qui?ones Florian Ciriaco,16/10/2024,16/10/2024
La Taberna de los H?sares,2202,ALIMENTOS Y BEBIDAS,220217,Poller?a,220217,Poller?a,Jr. H?sares de Jun?n 289 Urb. La Merced,"","",(044) 252011,13,1,1,La Libertad,Trujillo,Trujillo,20477455353,La Taberna de los H?sares,Aleni SAC,12/04/2007,17/10/2024
ALOHA RESTAURANT,2202,ALIMENTOS Y BEBIDAS,220202,Restaurantes comida Peruana,220202,Restaurantes comida Peruana,Av. Larco 400,chechitar21@gmail.com,.,980721058,13,1,4,La Libertad,Trujillo,Huanchaco,10181094970,ALOHA RESTAURANT,YSABEL MEJ?A CHU?E,23/06/2023,21/10/2024
La Adicci?n Burger,2202,ALIMENTOS Y BEBIDAS,220228,Sangucher?a,220228,Sangucher?a,"Av. Am?rica Sur, Urb. Monserrate Mz K Lote 12",.,.,942 465 735,13,1,1,La Libertad,Trujillo,Trujillo,20603638914,La Adicci?n Burger,LA ADICCION FAST FOOD E.I.R.L.,24/10/2024,24/10/2024
Otra Cosa Comida Vegetariana,2202,ALIMENTOS Y BEBIDAS,220204,Restaurantes Vegetarianos,220204,Restaurantes Vegetarianos,Av. V?ctor Larco 1312 - Urb. El Boquer?n,"","",916427180,13,1,4,La Libertad,Trujillo,Huanchaco,20477223738,Otra Cosa Comida Vegetariana,Otra Cosa Gwoon Anders E.I.R.L,20/12/2005,17/10/2024
Explorer's Inn,2201,ESTABLECIMIENTOS DE HOSPEDAJE,220107,Hospedaje no Categorizado,220107,Hospedaje no Categorizado,Av. Circunvalaci?n 2621 Mz L Lote 1,sales@explorersinn.com,www.explorersinn.com,950 186 820 / 983 006 097 / 982 198 537,17,1,1,Madre de Dios,Tambopata,Tambopata,20134994038,Explorer's Inn,Peruvian Safaris S.A.,22/10/2002,26/10/2024
El Cocoliso,2202,ALIMENTOS Y BEBIDAS,220202,Restaurantes comida Peruana,220202,Restaurantes comida Peruana,Av. 28 de Julio 254 Urb. Torres Araujo,"","",(044) 25-2476,13,1,1,La Libertad,Trujillo,Trujillo,10179123229,El Cocoliso,Zavaleta Chiclayo Gladys Elizabeth,12/04/2007,14/10/2024
Naruto,2202,ALIMENTOS Y BEBIDAS,220201,Restaurantes comida Internacional,220201,Restaurantes comida Internacional,Av. Antonio Jos? de Sucre 187,"",http://www.naruto.pe/,(01) 461-1330,15,1,21,Lima,Lima,Pueblo Libre,20505676301,Naruto,Naruto San Borja S.A.C,15/10/2014,18/10/2024
Restaurante Inkillay,2202,ALIMENTOS Y BEBIDAS,220202,Restaurantes comida Peruana,220202,Restaurantes comida Peruana,Av. Ricardo Palma 141,"","",942970747,12,4,1,Jun?n,Jauja,Jauja,10207183011,Restaurante Inkillay,Huaylinos Rojas Vda de Canchaya Sofia Pilar,16/10/2024,16/10/2024
Alameda,2201,ESTABLECIMIENTOS DE HOSPEDAJE,220103,Hostales,22010302,Hs.2 Estrellas,Jr. Lima S/n,"","",930582115,2,4,1,?ncash,Asunci?n,Chacas,10318800362,Alameda,Obreg?n Negreiros Samuel,13/09/2019,4/10/2024
Granja Heidy,2202,ALIMENTOS Y BEBIDAS,220208,Restaurantes Campestres y Centros Recreacionales,220208,Restaurantes Campestres y Centros Recreacionales,"Calle El Silencio, Mz D Lote 1, Asociaci?n de Peque?os Avicultores, Zapallal Alto",emprendiendo@granjaheidy.com; granjaheidy@gmail.com,www.granjaheidy.com,990990473,15,1,25,Lima,Lima,Puente Piedra,10086322728,Granja Heidy,Edgar Fidel Delgado Barrios,24/03/2022,23/10/2024
Pancho Fierro,2202,ALIMENTOS Y BEBIDAS,220210,Caf? & Bar,220210,Caf? & Bar,Jr. de la Uni?n 1066,panchofierrocafeteria@gmail.com,"","",15,1,1,Lima,Lima,Cercado de Lima,20602934757,Pancho Fierro,STARCAFE PERU S.A.C.,18/12/2023,10/10/2024
Rustica,2202,ALIMENTOS Y BEBIDAS,220202,Restaurantes comida Peruana,220202,Restaurantes comida Peruana,Cl. Juan Figari 135,rustica@hellomarketing.pe,https://cartas.rclub.pe/tiendas,(01) 680 - 7070,15,1,22,Lima,Lima,Miraflores,20557123106,Rustica,Fundaci?n Corporaci?n R?stica,10/02/2011,10/10/2024
Cruz del Sur,2203,TRANSPORTE,220301,Terrestre,22030101,Transporte Terrestre Nacional,"Av. Ej?rcito, cdras. 2 y 3 - Terminal Terrestre Moquegua",No cuenta.,www.cruzdelsur.com.pe,(053) 462005,18,1,1,Moquegua,Mariscal Nieto,Moquegua,20100227461,Cruz del Sur,Transportes Cruz del Sur S.A.C.,19/08/2003,1/10/2024
Huanchaco,2202,ALIMENTOS Y BEBIDAS,220203,Restaurantes Pescados & Mariscos,220203,Restaurantes Pescados & Mariscos,"Cl. Rodolfo Beltr?n 199, Santa Catalina",restauranthuanchaco@hotmail.com,"",(01) 224-0105 / 946025994,15,1,15,Lima,Lima,La Victoria,20122621830,Huanchaco,Inversiones Virgen de la Puerta S.R.L.,13/10/2014,18/10/2024
Eco Hacienda Roman,2201,ESTABLECIMIENTOS DE HOSPEDAJE,220107,Hospedaje no Categorizado,220107,Hospedaje no Categorizado,Comunidad de Collpani Grande S/N,ecohaciendaroman@gmail.com,"",993062162 / 914082045 / 986616365,8,13,4,Cusco,Urubamba,Machupicchu,10412938955,Eco Hacienda Roman,Roger Roman Onton,16/12/2021,10/10/2024
Da Mario,2202,ALIMENTOS Y BEBIDAS,220201,Restaurantes comida Internacional,220201,Restaurantes comida Internacional,Parque Francisco Gra?a 165,damariomagdalena@gmail.com,"",(01) 261-3297,15,1,20,Lima,Lima,Magdalena del Mar,20102180632,Da Mario,Inversiones Trevi S.A.C.,16/10/2014,23/10/2024
Inversiones Turisticas Zac E.I.R.L.,2205,AGENCIAS DE VIAJES Y TURISMO,220503,Operador de Turismo,220503,Operador de Turismo,Coop.francisco Bolognesi Pasaje 7 de Junio M-16,operaciones@montanaperutours.com,www.montanaperutours.com,990969606 / 958528888,8,1,6,Cusco,Cusco,Santiago,20609322765,Inversiones Turisticas Zac E.I.R.L.,Inversiones Turisticas Zac E.I.R.L.,7/10/2024,7/10/2024
